"sex";"age";"nationality";"politics";"WasonOrder";"Harm";"Fairness";"Loyalty";"Authority";"Purity";"Tasktype";"GotRight"
"Male";38;"USA";4;"Before";4.75;5;3.5;4;3;"Harm";"Right"
"Female";32;"USA";3;"After";4.5;4.5;3.5;3.25;1.75;"Fairness";"Wrong"
"Male";38;"India";3;"After";5;4.5;4.75;4.75;3.75;"Loyalty";"Wrong"
"Female";48;"USA";4;"After";5.75;5.5;5.25;4.5;5.5;"Harm";"Wrong"
"Male";51;"USA";2;"Before";6;6;3.25;2.75;1;"Purity";"Wrong"
"Female";35;"India";3;"After";4.75;5.25;4.25;4.75;3.75;"Loyalty";"Wrong"
"Female";24;"USA";1;"After";4.75;5.25;4;3.5;5.25;"Authority";"Right"
"Male";19;"USA";3;"After";4;4.5;3.75;4.5;2.25;"Loyalty";"Right"
"Female";57;"USA";3;"After";5.75;5.75;4.25;4.75;4.5;"Fairness";"Wrong"
"Male";30;"USA";2;"After";5.25;5.25;3.75;3.5;1.75;"Authority";"Right"
"Female";57;"USA";1;"After";3.75;5;3.5;2.5;2.5;"Loyalty";"Right"
"Female";55;"USA";2;"After";5.25;5.25;3.5;3.75;4;"Authority";"Right"
"Female";26;"USA";3;"Before";3.5;4.75;2.75;3;2.5;"Fairness";"Wrong"
"Female";28;"USA";3;"After";5.25;5;3;3.25;2.75;"Harm";"Wrong"
"Female";28;"USA";3;"After";6;5.25;2;3.5;4;"Fairness";"Right"
"Female";38;"USA";6;"After";5.75;3.75;3;4.75;4.5;"Control_descriptive";"Wrong"
"Female";23;"USA";4;"After";3.75;4.75;4.25;4;3.75;"Loyalty";"Wrong"
"Female";29;"USA";2;"After";6;6;2.75;2.25;4;"Control_descriptive";"Wrong"
"Male";48;"USA";6;"Before";4.25;5.25;4.5;5.5;5;"Purity";"Wrong"
"Male";29;"USA";3;"After";5.5;5.5;4.25;5;6;"Fairness";"Right"
"Male";22;"USA";3;"Before";5;5.5;3.75;3;3.5;"Purity";"Wrong"
"Female";67;"USA";6;"After";5.25;5.5;4.25;4.75;4.25;"Loyalty";"Wrong"
"Male";24;"USA";3;"Before";3.5;4.25;4.5;5;2.75;"Fairness";"Wrong"
"Male";29;"USA";1;"After";5.5;4.5;3.25;2.5;2.25;"Harm";"Wrong"
"Male";32;"USA";3;"Before";2.5;2.25;1;2;1;"Control_deontic";"Wrong"
"Male";29;"USA";1;"After";4.25;4.5;3.25;4.25;4;"Control_deontic";"Wrong"
"Female";32;"India";3;"After";4.25;5;4.25;4.5;4.25;"Loyalty";"Wrong"
"Female";27;"USA";1;"Before";4.5;4.25;1.5;1.25;1;"Control_descriptive";"Wrong"
"Female";23;"India";4;"After";5.5;4.5;4.25;4.5;4.75;"Purity";"Wrong"
"Female";30;"USA";5;"Before";5;5.25;4.25;3.75;5;"Fairness";"Wrong"
"Male";25;"USA";3;"After";5.75;6;4.25;4.25;4.5;"Control_deontic";"Wrong"
"Female";24;"USA";3;"After";4.25;4.75;5;4.25;2.25;"Authority";"Wrong"
"Female";42;"USA";4;"After";6;6;3.75;5.25;4.5;"Fairness";"Right"
"Female";43;"USA";4;"Before";4.5;5.5;3.25;4.25;4.5;"Purity";"Wrong"
"Female";45;"India";5;"After";4.75;4.25;4.25;4.25;3.75;"Harm";"Wrong"
"Female";45;"USA";2;"Before";5.75;5;3.25;2.25;1;"Control_descriptive";"Right"
"Male";40;"USA";5;"After";3.75;5.25;3.25;4.5;3.75;"Control_deontic";"Wrong"
"Female";25;"USA";4;"After";5.25;4;5;5.25;5.5;"Control_deontic";"Wrong"
"Female";35;"USA";3;"After";4.25;4.25;3.25;3.5;5.25;"Harm";"Right"
"Female";30;"USA";2;"After";6;5.25;3.75;2.75;3.75;"Harm";"Wrong"
"Female";30;"USA";2;"After";4;3.5;3.25;3;3.5;"Harm";"Wrong"
"Male";21;"USA";5;"After";5;5.5;4;3.75;4.75;"Purity";"Wrong"
"Female";45;"India";5;"After";5;4.5;5.25;4.75;5;"Authority";"Wrong"
"Male";37;"USA";2;"Before";4.75;4.75;4.25;3.5;3.25;"Harm";"Right"
"Male";27;"USA";1;"After";2.5;5.25;2;2.75;1.75;"Harm";"Wrong"
"Female";21;"USA";3;"After";3.25;4;1.5;2.25;3;"Purity";"Right"
"Male";27;"USA";2;"Before";5;5.5;2.75;3.75;4.75;"Fairness";"Wrong"
"Male";36;"USA";1;"Before";5;5.25;2;2.75;1.75;"Fairness";"Right"
"Female";24;"USA";4;"Before";3.75;4;3.5;3.75;5;"Loyalty";"Wrong"
"Female";29;"USA";2;"Before";6;5.25;3.25;3.25;4.5;"Harm";"Wrong"
"Male";22;"India";4;"After";4.25;5.25;4.25;3.75;4.5;"Fairness";"Wrong"
"Male";23;"India";3;"After";5.5;5.5;4;2.75;3.75;"Control_descriptive";"Wrong"
"Female";62;"USA";6;"After";4;5;4.5;4.5;6;"Loyalty";"Wrong"
"Female";54;"USA";3;"After";5.25;5;2.75;3;4.5;"Authority";"Wrong"
"Male";43;"USA";2;"Before";5;5.5;3.5;4.25;3;"Harm";"Right"
"Female";37;"USA";4;"After";4.75;4.75;1.25;2.25;1;"Authority";"Right"
"Male";28;"USA";4;"After";3.25;5.25;4.5;4.25;2.75;"Harm";"Wrong"
"Female";29;"USA";3;"After";4.75;3.75;4.25;4.5;3.5;"Control_descriptive";"Wrong"
"Female";46;"USA";2;"After";4.25;5.25;2.5;2.5;2;"Harm";"Right"
"Female";41;"USA";2;"After";3.75;5.25;3.5;3.75;1.25;"Harm";"Wrong"
"Female";28;"USA";2;"After";4.5;4.25;3.75;3;3.75;"Authority";"Wrong"
"Male";27;"USA";2;"After";3.5;4.5;2.75;3.5;4.5;"Fairness";"Wrong"
"Male";31;"India";3;"After";4.75;5.25;4.75;4.5;3;"Fairness";"Right"
"Male";21;"USA";2;"Before";4.75;4.25;2.25;2;3;"Control_descriptive";"Wrong"
"Female";53;"USA";4;"Before";5.75;5.75;4;4.5;5.25;"Loyalty";"Right"
"Male";23;"USA";1;"After";5.25;5.75;4;4;2;"Loyalty";"Right"
"Male";20;"USA";3;"Before";3.75;4.25;4.25;3.5;3.75;"Purity";"Right"
"Female";22;"USA";3;"Before";4.25;3.5;2;3.75;2.5;"Harm";"Wrong"
"Female";32;"USA";4;"After";5.75;5.5;4.75;4.75;6;"Authority";"Wrong"
"Male";24;"USA";3;"Before";5.5;5.75;4.75;4.5;5.5;"Loyalty";"Wrong"
"Female";NA;"USA";2;"Before";4.75;3.75;2.75;2.5;1.5;"Control_descriptive";"Right"
"Male";24;"USA";4;"Before";4.75;3.75;3.25;3.75;2.5;"Loyalty";"Right"
"Male";32;"USA";2;"After";5.5;5.75;4.5;4.5;6;"Control_descriptive";"Wrong"
"Male";19;"USA";2;"After";4.5;4;3;2.5;2.75;"Harm";"Wrong"
"Female";59;"India";3;"After";5.75;5.75;5;5;5.25;"Authority";"Wrong"
