"math","groupNL11","groupNL15","groupHR11","groupHR15","groupDE11","groupDE15","groupDK11","groupDK15","gender","weight","yeargender","lln","groupschool","schoolID"
588.48219,1,0,0,0,0,0,0,0,0,58.3770287591069,0,30,"1","NL111"
531.19273,1,0,0,0,0,0,0,0,1,58.3770287591069,0,30,"1","NL111"
553.25297,1,0,0,0,0,0,0,0,0,58.3770287591069,0,30,"1","NL111"
500.60447,1,0,0,0,0,0,0,0,1,58.3770287591069,0,30,"1","NL111"
597.264,1,0,0,0,0,0,0,0,1,58.3770287591069,0,30,"1","NL111"
595.15006,1,0,0,0,0,0,0,0,1,58.3770287591069,0,30,"1","NL111"
546.72163,1,0,0,0,0,0,0,0,0,58.3770287591069,0,30,"1","NL111"
622.69858,1,0,0,0,0,0,0,0,0,58.3770287591069,0,30,"1","NL111"
574.20504,1,0,0,0,0,0,0,0,1,58.3770287591069,0,30,"1","NL111"
539.88045,1,0,0,0,0,0,0,0,1,58.3770287591069,0,30,"1","NL111"
573.62146,1,0,0,0,0,0,0,0,1,58.3770287591069,0,30,"1","NL111"
582.00271,1,0,0,0,0,0,0,0,1,58.3770287591069,0,30,"1","NL111"
507.35984,1,0,0,0,0,0,0,0,0,63.9367457837838,0,30,"1","NL111"
523.61252,1,0,0,0,0,0,0,0,0,63.9367457837838,0,30,"1","NL111"
565.30514,1,0,0,0,0,0,0,0,1,63.9367457837838,0,30,"1","NL111"
522.13099,1,0,0,0,0,0,0,0,0,55.9446525608108,0,33,"2","NL112"
486.24423,1,0,0,0,0,0,0,0,1,55.9446525608108,0,33,"2","NL112"
513.76528,1,0,0,0,0,0,0,0,1,55.9446525608108,0,33,"2","NL112"
548.66479,1,0,0,0,0,0,0,0,1,55.9446525608108,0,33,"2","NL112"
604.30759,1,0,0,0,0,0,0,0,1,55.9446525608108,0,33,"2","NL112"
600.54764,1,0,0,0,0,0,0,0,1,55.9446525608108,0,33,"2","NL112"
447.62015,1,0,0,0,0,0,0,0,0,55.9446525608108,0,33,"2","NL112"
493.82651,1,0,0,0,0,0,0,0,0,55.9446525608108,0,33,"2","NL112"
558.91383,1,0,0,0,0,0,0,0,1,55.9446525608108,0,33,"2","NL112"
530.62064,1,0,0,0,0,0,0,0,0,55.9446525608108,0,33,"2","NL112"
461.26141,1,0,0,0,0,0,0,0,0,55.9446525608108,0,33,"2","NL112"
581.91426,1,0,0,0,0,0,0,0,1,55.9446525608108,0,33,"2","NL112"
579.53638,1,0,0,0,0,0,0,0,0,55.9446525608108,0,33,"2","NL112"
511.30205,1,0,0,0,0,0,0,0,1,55.9446525608108,0,33,"2","NL112"
520.64335,1,0,0,0,0,0,0,0,0,55.9446525608108,0,33,"2","NL112"
558.6561,1,0,0,0,0,0,0,0,0,55.9446525608108,0,30,"3","NL113"
499.7069,1,0,0,0,0,0,0,0,0,55.9446525608108,0,30,"3","NL113"
605.66528,1,0,0,0,0,0,0,0,0,55.9446525608108,0,30,"3","NL113"
590.93488,1,0,0,0,0,0,0,0,1,55.9446525608108,0,30,"3","NL113"
577.64224,1,0,0,0,0,0,0,0,1,55.9446525608108,0,30,"3","NL113"
584.55889,1,0,0,0,0,0,0,0,1,55.9446525608108,0,30,"3","NL113"
639.23411,1,0,0,0,0,0,0,0,0,55.9446525608108,0,30,"3","NL113"
553.33944,1,0,0,0,0,0,0,0,1,55.9446525608108,0,30,"3","NL113"
478.38832,1,0,0,0,0,0,0,0,0,55.9446525608108,0,30,"3","NL113"
577.976,1,0,0,0,0,0,0,0,0,55.9446525608108,0,30,"3","NL113"
555.84491,1,0,0,0,0,0,0,0,0,55.9446525608108,0,30,"3","NL113"
531.75674,1,0,0,0,0,0,0,0,1,55.9446525608108,0,30,"3","NL113"
516.87192,1,0,0,0,0,0,0,0,1,55.9446525608108,0,30,"3","NL113"
554.6595,1,0,0,0,0,0,0,0,1,55.9446525608108,0,30,"3","NL113"
534.56012,1,0,0,0,0,0,0,0,1,55.9446525608108,0,30,"3","NL113"
539.93653,1,0,0,0,0,0,0,0,1,57.8737785111836,0,29,"4","NL114"
516.02243,1,0,0,0,0,0,0,0,0,57.8737785111836,0,29,"4","NL114"
603.61345,1,0,0,0,0,0,0,0,0,57.8737785111836,0,29,"4","NL114"
606.71953,1,0,0,0,0,0,0,0,0,57.8737785111836,0,29,"4","NL114"
576.75238,1,0,0,0,0,0,0,0,1,57.8737785111836,0,29,"4","NL114"
495.63305,1,0,0,0,0,0,0,0,0,57.8737785111836,0,29,"4","NL114"
638.15004,1,0,0,0,0,0,0,0,0,57.8737785111836,0,29,"4","NL114"
578.18009,1,0,0,0,0,0,0,0,1,57.8737785111836,0,29,"4","NL114"
567.67258,1,0,0,0,0,0,0,0,0,57.8737785111836,0,29,"4","NL114"
440.00606,1,0,0,0,0,0,0,0,1,57.8737785111836,0,29,"4","NL114"
509.19536,1,0,0,0,0,0,0,0,0,57.8737785111836,0,29,"4","NL114"
584.20783,1,0,0,0,0,0,0,0,0,57.8737785111836,0,29,"4","NL114"
522.82975,1,0,0,0,0,0,0,0,0,57.8737785111836,0,29,"4","NL114"
532.18939,1,0,0,0,0,0,0,0,0,57.8737785111836,0,29,"4","NL114"
563.35935,1,0,0,0,0,0,0,0,0,57.8737785111836,0,29,"4","NL114"
511.64964,1,0,0,0,0,0,0,0,1,52.2591831110367,0,25,"5","NL115"
552.34194,1,0,0,0,0,0,0,0,0,52.2591831110367,0,25,"5","NL115"
534.24895,1,0,0,0,0,0,0,0,0,52.2591831110367,0,25,"5","NL115"
474.05637,1,0,0,0,0,0,0,0,0,52.2591831110367,0,25,"5","NL115"
534.66701,1,0,0,0,0,0,0,0,1,52.2591831110367,0,25,"5","NL115"
577.30294,1,0,0,0,0,0,0,0,0,52.2591831110367,0,25,"5","NL115"
469.57283,1,0,0,0,0,0,0,0,0,52.2591831110367,0,25,"5","NL115"
410.6814,1,0,0,0,0,0,0,0,1,52.2591831110367,0,25,"5","NL115"
556.03084,1,0,0,0,0,0,0,0,0,52.2591831110367,0,25,"5","NL115"
480.02181,1,0,0,0,0,0,0,0,0,52.2591831110367,0,25,"5","NL115"
510.83835,1,0,0,0,0,0,0,0,0,52.2591831110367,0,25,"5","NL115"
483.46532,1,0,0,0,0,0,0,0,1,52.2591831110367,0,25,"5","NL115"
515.36593,1,0,0,0,0,0,0,0,0,52.2591831110367,0,25,"5","NL115"
477.41792,1,0,0,0,0,0,0,0,0,52.2591831110367,0,25,"5","NL115"
539.15422,1,0,0,0,0,0,0,0,0,52.2591831110367,0,25,"5","NL115"
569.92804,1,0,0,0,0,0,0,0,0,58.7418851888513,0,45,"6","NL116"
433.90286,1,0,0,0,0,0,0,0,0,58.7418851888513,0,45,"6","NL116"
594.60976,1,0,0,0,0,0,0,0,0,58.7418851888513,0,45,"6","NL116"
578.7647,1,0,0,0,0,0,0,0,0,58.7418851888513,0,45,"6","NL116"
561.01017,1,0,0,0,0,0,0,0,0,58.7418851888513,0,45,"6","NL116"
566.36259,1,0,0,0,0,0,0,0,0,58.7418851888513,0,45,"6","NL116"
520.00021,1,0,0,0,0,0,0,0,0,58.7418851888513,0,45,"6","NL116"
591.57886,1,0,0,0,0,0,0,0,1,58.7418851888513,0,45,"6","NL116"
598.91716,1,0,0,0,0,0,0,0,1,58.7418851888513,0,45,"6","NL116"
488.51098,1,0,0,0,0,0,0,0,0,58.7418851888513,0,45,"6","NL116"
596.1693,1,0,0,0,0,0,0,0,0,58.1824386632432,0,45,"6","NL116"
515.44403,1,0,0,0,0,0,0,0,0,58.1824386632432,0,45,"6","NL116"
589.22611,1,0,0,0,0,0,0,0,1,58.1824386632432,0,45,"6","NL116"
434.25628,1,0,0,0,0,0,0,0,0,58.1824386632432,0,45,"6","NL116"
537.38391,1,0,0,0,0,0,0,0,1,58.1824386632432,0,45,"6","NL116"
504.52494,1,0,0,0,0,0,0,0,0,52.5332697357449,0,22,"7","NL117"
546.5277,1,0,0,0,0,0,0,0,0,52.5332697357449,0,22,"7","NL117"
567.10725,1,0,0,0,0,0,0,0,0,52.5332697357449,0,22,"7","NL117"
568.08359,1,0,0,0,0,0,0,0,0,52.5332697357449,0,22,"7","NL117"
564.82262,1,0,0,0,0,0,0,0,0,52.5332697357449,0,22,"7","NL117"
517.87244,1,0,0,0,0,0,0,0,0,52.5332697357449,0,22,"7","NL117"
532.08796,1,0,0,0,0,0,0,0,1,52.5332697357449,0,22,"7","NL117"
644.62256,1,0,0,0,0,0,0,0,1,52.5332697357449,0,22,"7","NL117"
578.1289,1,0,0,0,0,0,0,0,0,52.5332697357449,0,22,"7","NL117"
510.37983,1,0,0,0,0,0,0,0,1,52.5332697357449,0,22,"7","NL117"
551.9282,1,0,0,0,0,0,0,0,0,52.5332697357449,0,22,"7","NL117"
594.14239,1,0,0,0,0,0,0,0,0,52.5332697357449,0,22,"7","NL117"
595.17603,1,0,0,0,0,0,0,0,0,52.5332697357449,0,22,"7","NL117"
554.2118,1,0,0,0,0,0,0,0,0,52.5332697357449,0,22,"7","NL117"
507.01875,1,0,0,0,0,0,0,0,0,52.5332697357449,0,22,"7","NL117"
443.36582,1,0,0,0,0,0,0,0,1,50.2492145298429,0,18,"8","NL118"
551.73286,1,0,0,0,0,0,0,0,0,50.2492145298429,0,18,"8","NL118"
469.93039,1,0,0,0,0,0,0,0,1,50.2492145298429,0,18,"8","NL118"
608.27247,1,0,0,0,0,0,0,0,0,50.2492145298429,0,18,"8","NL118"
567.03857,1,0,0,0,0,0,0,0,1,50.2492145298429,0,18,"8","NL118"
533.01799,1,0,0,0,0,0,0,0,0,50.2492145298429,0,18,"8","NL118"
595.6705,1,0,0,0,0,0,0,0,1,50.2492145298429,0,18,"8","NL118"
545.0076,1,0,0,0,0,0,0,0,0,50.2492145298429,0,18,"8","NL118"
525.31339,1,0,0,0,0,0,0,0,0,50.2492145298429,0,18,"8","NL118"
469.37457,1,0,0,0,0,0,0,0,1,50.2492145298429,0,18,"8","NL118"
485.27383,1,0,0,0,0,0,0,0,1,50.2492145298429,0,18,"8","NL118"
554.38691,1,0,0,0,0,0,0,0,1,50.2492145298429,0,18,"8","NL118"
569.93199,1,0,0,0,0,0,0,0,1,50.2492145298429,0,18,"8","NL118"
546.55377,1,0,0,0,0,0,0,0,0,50.2492145298429,0,18,"8","NL118"
535.36689,1,0,0,0,0,0,0,0,1,50.2492145298429,0,18,"8","NL118"
469.99362,1,0,0,0,0,0,0,0,1,50.2492145298429,0,32,"9","NL119"
589.51649,1,0,0,0,0,0,0,0,1,50.2492145298429,0,32,"9","NL119"
542.12876,1,0,0,0,0,0,0,0,0,50.2492145298429,0,32,"9","NL119"
524.98791,1,0,0,0,0,0,0,0,0,50.2492145298429,0,32,"9","NL119"
607.57607,1,0,0,0,0,0,0,0,1,50.2492145298429,0,32,"9","NL119"
