"price";"anchor";"motivation"
-0.552643658;"precise";"low"
-0.7892339;"precise";"low"
-0.661440305;"precise";"low"
-1.052405531;"precise";"low"
-0.788065151;"precise";"low"
-0.706399957;"precise";"low"
-1.083673729;"precise";"low"
-0.777374173;"precise";"low"
-0.818667957;"precise";"low"
-0.532448306;"precise";"low"
-0.723482968;"precise";"low"
-0.531007818;"precise";"low"
-0.894020084;"precise";"low"
-0.729136464;"precise";"low"
-0.814571475;"rounded";"low"
0.351051577;"rounded";"low"
-0.393415463;"rounded";"low"
0.405864693;"rounded";"low"
-0.681062429;"rounded";"low"
-0.590704683;"rounded";"low"
-0.116863844;"rounded";"low"
-0.557791336;"rounded";"low"
0.665878284;"rounded";"low"
-0.911243753;"rounded";"low"
0.157972763;"rounded";"low"
-0.151686513;"rounded";"low"
-0.352101355;"rounded";"low"
0.103371318;"rounded";"low"
-0.564697782;"rounded";"low"
-0.022418882;"precise";"high"
-0.208738017;"precise";"high"
0.011502775;"precise";"high"
0.094508535;"precise";"high"
-0.267702469;"precise";"high"
0.024935634;"precise";"high"
0.701628966;"precise";"high"
-0.29079488;"precise";"high"
0.416762033;"precise";"high"
-0.11217946;"precise";"high"
-0.098747802;"precise";"high"
-0.298422581;"precise";"high"
-0.04014761;"precise";"high"
-0.219797437;"precise";"high"
-0.290388806;"precise";"high"
0.746550965;"rounded";"high"
1.299118503;"rounded";"high"
0.894822342;"rounded";"high"
1.2508819;"rounded";"high"
1.226138342;"rounded";"high"
1.335773131;"rounded";"high"
1.39358456;"rounded";"high"
0.272409992;"rounded";"high"
0.951356106;"rounded";"high"
0.867718588;"rounded";"high"
0.268800271;"rounded";"high"
0.485280445;"rounded";"high"
1.475121248;"rounded";"high"
1.441260562;"rounded";"high"
0.791183044;"rounded";"high"
