"stim";"sent";"race";"glasses";"tattoos";"ztrust";"trust_2nd";"afro";"zAfro";"attract";"fWHR";"zfWHR";"maturity"
528;0;1;0;0;0.101386792118118;2.645161;2.727273;1.081213;3.041667;1.714691;-1.25136;5.904762
522;0;1;0;0;1.29403856755866;2.931034;2.714286;1.032388;2.916667;1.699064;-1.374934;6.809524
21;1;-1;0;0;-1.43268997739623;3.653846;5.142857;-1.039267;2.277778;2.134556;0.374436;4.058824
452;1;-1;1;0;-1.34044016491572;2.821429;6.727273;1.000634;1.466667;2.050967;-0.027026;4.65
658;1;-1;0;0;0.45216736985572;3.033333;5.6;-0.614853;1.888889;2.415982;1.809385;3.952381
37;0;-1;0;0;0.330563022787306;3.346154;5.857143;-0.241526;2;1.80084;-1.224058;7
620;0;1;0;0;-0.824671890166332;2.677419;1.409091;-0.826036;2.55;2.09011;0.783427;5.45
565;0;-1;0;0;-0.810641250754776;2.451613;4.909091;-1.375082;3.375;2.126609;0.401424;4.55
264;1;1;0;0;1.72900662987777;2.862069;2.285714;0.430002;1.714286;2.312997;1.762488;5.857143
421;0;1;0;0;1.11260153276561;3.37931;1.235294;-1.067112;2.25;1.801282;-0.814424;6.809524
383;1;1;0;0;-0.334062821007631;2.344828;2.095238;0.141321;1.894737;2;0.287524;5.294118
29;0;-1;0;0;0.756177325498714;3.566667;5.809524;-0.30197;2.521739;2.12465;0.340549;4.904762
411;0;1;0;0;-0.0195718390959409;2.586207;1.714286;-0.395761;2.5;1.560026;-1.919695;6.35
135;0;-1;0;0;0.775789576532653;3.307692;6.333333;0.480239;2;1.943452;-0.579531;6.142857
632;0;1;1;0;0.330563022787306;2.225806;1.454545;-0.739335;3.722222;1.838542;-0.61378;6.909091
155;1;1;0;0;-0.106818265733248;2.566667;2.47619;0.670504;1.904762;2.036134;0.466319;5.235294
466;0;-1;0;0;-1.09126498332242;3.392857;6.421053;0.611231;2.2;2.280769;1.211958;2.95
580;0;-1;0;0;-0.946276237234746;2.612903;7.136364;1.546887;2.944444;2.271852;1.21543;4.95
20;1;-1;0;0;0.634572978430298;2.692308;5.761905;-0.37308;1.956522;2.195652;0.695528;6.909091
308;0;1;0;0;0.45216736985572;2.62069;1.631579;-0.512364;2.421053;1.84676;-0.56628;6.571429
484;1;1;0;0;0.171543637288074;2.678571;1.736842;-0.377451;2.541667;2.023543;0.36511;5.380952
616;0;1;0;0;-1.06787876024707;2.612903;1.631579;-0.505618;3.722222;2.042875;0.518221;5.470588
41;0;-1;0;0;-0.277455064442596;2.230769;4.941176;-1.581947;2.304348;2.072996;0.122107;5.578947
463;0;-1;0;0;-1.44204556106002;2.642857;6.684211;1.000634;1.933333;2.085221;0.137835;3.681818
665;1;-1;0;0;-0.00384665158072692;3;5.8;-0.30197;1.944444;2.147887;0.446772;3.238095
677;0;-1;0;0;0.965183143971723;2.866667;6.65;0.932756;2.888889;1.991823;-0.313682;4.55
430;0;1;0;0;0.357819892876605;1.892857;6.142857;4.166074;2.6;2.370734;2.139247;4.65
712;1;1;0;0;0.45216736985572;2.666667;2.4;0.583803;2.75;2.090524;0.809364;3.1
305;0;1;0;0;0.45216736985572;2.931034;1.294118;-0.98813;2.347826;1.963861;0.028415;6.571429
637;0;1;0;0;0.208960499774976;2.806452;1.272727;-0.999977;3.722222;1.86818;-0.42869;6.65
120;1;-1;0;0;-1.10710691042712;3.1;6.095238;0.12469;2.043478;2.364638;1.590868;4.588235
500;1;1;0;0;0.241698658401943;1.964286;2.736842;1.002231;2.75;2;0.305709;4.857143
159;1;1;0;0;-0.0479778645192598;2.633333;2.761905;0.946943;1.857143;1.980525;0.167435;5.47619
298;0;1;0;0;1.85061097694619;3.37931;1.647059;-0.49054;2;1.84676;-0.569768;6.761905
640;0;1;1;0;-0.277455064442596;4.322581;2.052632;0.071134;2.7;2.060961;0.555063;5.904762
95;0;1;1;0;0.634572978430298;1.769231;2.176471;0.275591;1.952381;2.22755;1.402848;5.421053
639;0;1;0;0;-1.97990680311997;2.032258;1.590909;-0.569702;3.722222;1.838542;-0.602221;6.95
138;0;-1;0;0;0.422747169248728;3.076923;4.333333;-2.293046;2.894737;2.351138;1.646799;5.421053
716;0;1;0;0;0.167158606457941;3.733333;4.7;3.602139;2.1;1.912047;-0.185949;4.470588
